NodeID 人物编号,Focused_or_Related 核心人物/相关人物,Chinese_Name 汉字人物姓名
274,Related,洪福彰
275,Related,王锦威
276,Related,许山兴
277,Related,陈霞娘
278,Related,杨佛生
279,Related,陈有郎
280,Related,陈季騧
281,Related,陈季随
282,Related,陈瑞林
283,Related,陈德源
284,Related,陈维贤
285,Related,张炎
286,Related,林生财
287,Related,黄木生
288,Related,黄文德
289,Related,黄金炎
290,Related,黄秉盛
291,Related,陈六娘
292,Related,陈宝莉
293,Related,符气浩
294,Related,曾举荐
295,Related,谢佛珊
296,Related,陈丰明
297,Related,詹振成
298,Related,刘清泉
299,Related,曾全福
300,Related,邱文林
301,Related,阮添寿
302,Related,许山治
303,Related,李庆庸
304,Related,佘石城
305,Related,陈德娘
306,Related,陈俊睦
307,Related,陈俊善
308,Related,陈恭三
309,Related,陈恭敬
310,Related,林光瑗
311,Related,林长水
312,Related,林永庆
313,Related,陈明岩
314,Related,杨如陵
315,Related,林景烈
316,Related,陈玉合
317,Related,杨鸿泰
318,Related,陈若铨
319,Related,陈振盛
320,Related,洪俊成
321,Related,洪捷发
322,Related,章三潮
323,Related,沈阿溪
324,Related,黄宗山
325,Related,黄祥达
326,Related,郑玉瓞
327,Related,陈明远
328,Related,陈庆照
329,Related,泰王
330,Related,陈德道
331,Related,陈季良
332,Related,龚光传
333,Related,陈静雅
334,Related,龚菽惠
335,Related,蔡绵溪
336,Related,陈文确
337,Related,谢源英
338,Related,陈思源
339,Related,李庆烈
340,Related,李攀福
341,Related,陈仙精
342,Related,曾江水
343,Related,陈温祥
344,Related,陈达贤
345,Related,刘隆镇
346,Related,张善庆
347,Related,刘溪士
348,Related,杨本盛
349,Related,陈正端
350,Related,陈合盛
351,Related,阿瑟•杨格
352,Related,张贵添
353,Related,罗窗绮
354,Related,林德为
355,Related,徐桂梦
356,Related,罗丰禄
357,Related,蔡仰泰
358,Related,宾威廉
359,Related,库克姑娘
360,Related,基斯柏里
361,Related,格兰特
362,Related,陈德顺
363,Related,陈有为
364,Related,陈有余
365,Related,陈玉英
366,Related,宋振荣
367,Related,赵恭喜
368,Related,陈丙荣
369,Related,陈秋金
370,Related,郑文德
371,Focused,陈谦福
372,Related,李荣元
373,Related,陈振
374,Related,陈浩盛
375,Related,张友
376,Related,黄文元
377,Related,陈祀柏
378,Related,陈周锦
379,Related,陈合隆
380,Related,李碧云
381,Related,佘应瑾
382,Related,陈佛元
383,Related,陈昭彬
384,Related,潘春阳
385,Related,刘孝钦
386,Related,阿武峇卡
387,Related,陈振贤
388,Related,林德义
389,Related,黄阿舍
390,Related,阿尔伯特王子
391,Related,乔治王子
392,Related,朱惠琳
393,Related,陈先进
394,Related,邱国瓦
395,Related,郑螺生
396,Related,林金殿
397,Related,胡先愿
398,Related,黄庆昌
399,Related,黄卓善
400,Related,王丙丁
401,Related,林斐
402,Related,陈祯祥
403,Related,康乐公爵
404,Related,戴板鹗
405,Related,蔡南
406,Related,陈金殿
407,Related,洪金捷
408,Related,佘怀德
409,Related,佘德秀
410,Related,温振周
411,Related,林顶合
412,Related,戴山交
413,Related,戴文通
414,Related,陈允洛
415,Related,李厚基
416,Related,吴氏
417,Related,傅紫曦
418,Related,傅紫祯
419,Related,傅紫礼
420,Related,刘韵仙
421,Related,傅超人
422,Related,傅超贤
423,Related,傅继慈
424,Related,巴素
425,Related,米勒
426,Related,郭可培
427,Related,郭玉英
428,Related,郭成瑞
429,Related,黄重吉
430,Related,许生理
431,Related,洪基源
432,Related,萧长水
433,Related,萧清南
434,Related,萧清发
435,Related,陈笃
436,Related,洪福寿
437,Related,王嘉禄
438,Related,李亮琪
439,Related,庄惠泉
440,Related,李金泉
441,Related,叶瑞人
442,Related,王吉士
443,Related,英倚泉
444,Related,胡子钦
445,Related,郑氏（姐）
446,Related,郑氏（妹）
447,Related,杜苏
448,Related,张凤英
449,Related,胡清才
450,Related,胡清湖
451,Related,李志城
452,Related,胡清新
453,Related,李益森
454,Related,胡清德
455,Related,汤湘霖
456,Related,林霭民
457,Related,转道
458,Related,郑雨生
459,Related,胡好
460,Related,胡资周
461,Related,胡蛟
462,Related,邱立南
463,Related,胡亚业
464,Related,维多利亚女皇
465,Related,胡颖德
466,Related,黄永祺
467,Related,黄桂岩
468,Related,黄桂丁
469,Related,黄桂馥
470,Related,徐悲鸿
471,Related,许雪湫
472,Related,黄端琼
473,Related,黄淑琼
474,Related,蔚利高
475,Related,萧保魂
476,Related,陈祀恩
477,Related,黄金钻
478,Related,赫利特
479,Related,黄海筹
480,Related,黄树昆
481,Related,黄寿炽
482,Related,黄美瑶
483,Related,梁敏修
484,Related,黄兆贤
485,Related,黄兆珪
486,Related,黄兆琨
487,Related,黄兆南
488,Related,黄兆镇
489,Related,陈宗祺
490,Related,黄奕根
491,Related,李登辉
492,Related,袁世凯
493,Related,王景成
494,Related,黄勖吾
495,Related,李进坤
496,Related,李进汤
497,Related,李维娘
498,Related,李金耀
499,Related,李天耀
500,Related,李祥耀
501,Related,李金满
502,Related,李显龙
503,Related,庄笃明
504,Related,李庆禧
505,Related,陈长佑
506,Related,胡维德
507,Related,载泽
508,Related,尚志恒
509,Related,庄士敦
510,Related,林维芳
511,Related,李宝娘
512,Related,李邦赐
513,Related,蔡永远
514,Related,许行云
515,Related,苏芳泉
516,Related,陈敬元
517,Related,许山泉
518,Related,许山林
519,Related,许山河
520,Related,李桂林
521,Related,李石农
522,Related,李深端
523,Related,李深学
524,Related,谢孝义
525,Related,李清岩
526,Related,光绪皇帝
527,Related,史密斯
528,Related,李玉波
529,Related,李合平
530,Related,陈长乐
531,Related,李铁民
532,Related,颜长春
533,Related,江建霞
534,Related,李淑娘
535,Related,爱德华七世
536,Related,泰戈尔
537,Related,尼赫鲁
538,Related,甘地
539,Related,林建达
540,Related,威廉•启信
541,Related,乔治六世
542,Related,伊丽莎白二世
543,Related,蔡子庸
544,Related,陈云秋
545,Related,林树森
546,Related,李乾盛
547,Related,黄松亭
548,Related,乔治五世
549,Related,黄庆祥
550,Focused,陈锡九
551,Related,林和坂
552,Focused,黄敏
